,element,group_id,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
42,Pd,8,-3.96499165259,-2.6396514953,-30.7614982559,-63.5613756029,-353.214790306,-507.594336101,-42664.2554036,-4283.7001834,-8008.0614934,26678.7176002,-3442.25952035,-2.22030331011,-5930.5689324,-7.2329264561,-11029.3663537,-11.8734142063,-1506.08744132,-12.2497103769,-706.925527065,-46.8459661754,-1154.20781492,674.52830715,-49.1286167801,-0.0263926138707,-15.1133271154,-0.0415224160766,-2.03978542484,-0.728431688548,-0.0762275025646,-0.914498344863,-0.968594358382,-0.0302540765455
43,Ag,11,-4.54124871435,1.14257025967,62.9452838536,-67.0359409743,-243.314676663,114.933474377,-44696.94865,-4147.87966951,-49180.9290442,6302.78788676,-14739.3200646,-2.46435531092,-25388.821356,-8.02592496661,-40698.8643743,-13.122655164,-5557.66755849,-13.5387382614,-2594.00555716,-51.1996991656,-626.708577525,-376.085299946,-187.256882132,-0.0292097650961,-57.605537362,-0.0459545710438,-15.7284735844,2.92097648531,-0.854981299886,-0.593808663422,-0.308545387946,-0.318179745211
44,Cd,12,-3.42376221588,0.588906347365,51.4521058134,-21.865422609,-329.432102367,15.2500944844,-47217.6562285,-5483.7186497,-63922.2832828,3998.30313611,-18863.5605421,-2.55345186275,-32492.4844138,-8.31545849756,-52484.2154381,-13.6188800492,-7167.04076804,-14.0507673669,-3343.59363684,-52.9290930949,-1115.28989282,-270.733301463,-241.182876994,-0.0303095956204,-74.1947186551,-0.0476848965446,-14.0382515466,-0.831039950327,-1.16658971421,0.0342869542354,0.372701685307,-0.183946380377
45,In,13,-3.57213451257,-2.19656194961,85.787745404,-80.0791800114,-255.604266261,-112.68552406,-41782.239449,-4095.09855395,-41615.0201352,-2613.56908982,-12280.168698,-2.41122991525,-21153.1365379,-7.85331390797,-33971.2725834,-12.8393883825,-4638.96740968,-13.2464498023,-2166.1080922,-50.2124803412,-438.503555133,-368.40196563,-156.368652769,-0.028579794011,-48.103433137,-0.0449634420762,-8.76573708156,-0.785950558152,-0.678316279855,-0.72470425903,-0.516186376116,-0.337069073607
46,Sn,14,-4.41469905303,-3.6942610782,41.3607825684,-95.011119347,-315.896438288,-330.773252321,-46201.7473567,-4677.81356924,-61909.1943401,691.680013196,-18012.4638627,-2.5350655005,-31026.5407731,-8.2557111194,-49633.0215929,-13.4988298843,-6777.69007974,-13.9268937474,-3162.2481139,-52.5107044756,-876.337541689,-386.276222391,-228.226021223,-0.0300453381781,-70.2088188408,-0.0472691487672,-13.2379072321,-0.824195580547,-1.11156247918,-0.209699654103,0.145666061685,-0.227405418844
47,Sb,15,-5.51595388449,-3.59579681613,60.8518441787,-113.073947251,98.8351777683,-84.4934774157,-14616.616732,4281.82853748,13586.3160577,-17596.1640127,3943.96118105,-2.06073773697,6791.58499169,-6.71443183452,8030.50862937,-11.0708938381,1096.67365739,-11.4216305819,505.346873965,-44.0490772172,-1171.76009634,1100.84854403,37.4893336413,-0.0246260249358,11.5328362316,-0.038743057324,-15.9603352922,13.1418972434,0.398676069144,-0.921226385274,-1.13417928318,0.0969517220641
48,Te,16,-5.75180392135,-1.90723812108,-18.1906544364,-146.550423813,2.96123711483,-337.372201347,-13595.0225502,5784.69083515,-24153.1600155,-14220.1581439,-6423.74682434,-2.2847128031,-11065.9342712,-7.44220181269,-16740.8780674,-12.1138987052,-2286.03515574,-12.4978541439,-1070.19691132,-47.6840991679,42.2032263712,-348.777457932,-77.4750065447,-0.0269707436725,-23.8334884797,-0.0424319693484,-3.85565232557,-0.743960585693,-0.238779009999,-0.863257886838,-0.845631145378,-0.112379400971
49,I,17,-4.42764478651,-1.28194171368,-185.194332529,-103.080815354,-368.378180353,-594.809307315,-44813.2896022,-4618.24900149,-55192.813771,-1752.70298049,-15972.9240682,-2.49100503313,-27513.602168,-8.11252361017,-43833.5430825,-13.2546415235,-5985.73015889,-13.6749282446,-2793.38172742,-51.6596860562,-714.768460271,-379.680281156,-201.709282337,-0.0295045244406,-62.0515103738,-0.0464183042472,-15.6789911212,2.23780695017,-0.956407842699,-0.519621440994,-0.195686631839,-0.297088593547
50,Xe,18,-6.10004452511,-0.322805840027,-173.824598823,-104.775683451,-429.000949693,-587.095908407,-47613.1836066,-5861.07745147,-66130.3832549,4083.91232593,-19490.0342969,-2.5669856641,-33571.5336314,-8.3594401037,-53842.2325267,-13.6760596674,-7352.48759703,-14.1097680844,-3429.96807356,-53.1283717737,-994.07824244,-391.082901591,-247.549633432,-0.030439446782,-76.1533153328,-0.047889186662,-14.4405465627,-0.834480289443,-1.20278102698,0.224636193511,0.537873937177,-0.152329195668
51,Cs,1,2.40010508445,16.6515399508,148.806653245,28.5508131765,-175.189900388,386.24404942,-45730.1936491,-3913.36647963,-62012.0658178,-629.340568735,-18805.9028273,-2.55220627496,-32393.1737653,-8.31141402102,-51994.1524502,-13.5982458357,-7100.11914056,-14.0294759593,-3312.4239616,-52.85718086,-941.856609078,-388.950991068,-238.979013851,-0.0302646474287,-73.5167471241,-0.047614179968,-13.9071387718,-0.829918702513,-1.15479453001,-0.0277501487239,0.31887022207,-0.194250770473
52,Ba,2,5.71792461587,6.3989408512,10.2327478161,112.900497474,-223.169931517,437.895040173,-40158.5868419,-1320.02320501,-38339.339454,2998.23110363,-11562.2429169,-2.3957204628,-19916.5687823,-7.80293903584,-34079.9698489,-12.8439651056,-4653.81067065,-13.2511722505,-2173.0215292,-50.2284420971,-440.038041857,-368.464609944,-156.620499082,-0.0285849304626,-48.1809076637,-0.0449715213479,-8.78141108365,-0.786084598795,-0.679719326016,-0.724261964213,-0.515139405374,-0.337820847937
53,La,19,7.56030737074,-2.58017522898,-51.6521764765,105.15245101,-348.020495536,-155.752084911,-47360.6794224,-5603.45253651,-64853.1457564,3789.53192592,-19120.1577101,-2.55899516775,-32934.4517947,-8.33346958982,-53087.8907305,-13.6442979346,-7249.47686005,-14.0769947692,-3381.98939488,-53.0176784158,-972.846264309,-390.216121395,-244.065039088,-0.0303683778432,-75.081354345,-0.0477773760899,-14.2236765362,-0.832625664341,-1.18327093674,0.122022342343,0.448832496785,-0.169373460886
54,Ce,19,8.33066623408,-2.43420583165,-31.3606549871,119.511230385,-298.651266566,61.6260396588,-47105.3350202,-5340.99864183,-63762.097631,3877.03362664,-18813.5893507,-2.55237232802,-32406.4131667,-8.31195779772,-51970.4097745,-13.597246145,-7096.87695323,-14.0284444433,-3310.9138541,-52.8536966746,-1109.6829964,-395.17462786,-242.255396296,-0.0303314698477,-74.5246561351,-0.0477193094661,-15.6574670354,0.408441486334,-1.16214417114,0.0684297573326,0.383975162862,-0.181788417292
55,Pr,19,8.16761706587,-3.07335500616,-27.837071787,114.861442713,-254.144717225,46.8513849919,-47977.9591643,-6167.79289669,-67060.9611331,6324.45142745,-19831.9511669,-2.57437214273,-34160.4571382,-8.38344062414,-54736.8155337,-13.7137262882,-7474.64924245,-14.1486343447,-3486.86657596,-53.2596426526,-1113.18307719,-321.904890803,-251.57970469,-0.0305216408221,-77.3930807244,-0.0480185017458,-14.6884789786,-0.836600553315,-1.22863137003,0.38858040597,0.689603404109,-0.12328522171
56,Nd,19,8.16459760136,-3.29326247462,-33.6449620241,120.378048841,-269.844981867,83.1440908749,-47781.0295195,-5937.66412103,-66914.5929066,5357.22162575,-19763.5004833,-2.57289339291,-34042.5565055,-8.37863425845,-54576.1194889,-13.7069601447,-7452.70506022,-14.1416527074,-3476.64576468,-53.2360628341,-1014.5178593,-391.91733421,-250.9041857,-0.0305078634888,-77.1852715438,-0.0479968244619,-14.6493229402,-0.836265699426,-1.22432563112,0.359753351195,0.662497583366,-0.128473803517
57,Pm,19,7.70835500767,-3.41979215551,-51.1170691748,114.072594609,-251.23872372,127.674640746,-47685.5700819,-5793.29223358,-66180.9063789,4780.17788658,-19533.8231152,-2.56793164016,-33646.9562441,-8.36251369292,-53788.2960033,-13.6737886578,-7345.12217992,-14.1074247448,-3426.53753402,-53.1204567536,-1114.07225372,-300.308043156,-247.191748071,-0.0304321476446,-76.0432196393,-0.0478777040687,-14.4182729055,-0.834289809991,-1.20077722933,0.214097208493,0.528728849911,-0.154079743414
58,Sm,19,8.03875250328,-3.17240512069,-62.883203159,117.573278831,-262.544217197,151.659560686,-47405.1407109,-5579.50281955,-65066.6165143,5477.37729803,-19243.2089796,-2.56165346178,-33146.3974361,-8.34210969581,-53545.5147535,-13.6635662981,-7311.96867818,-14.0968768136,-3411.09583207,-53.0848306105,-1112.68794205,-334.262932398,-245.830103327,-0.0304043766511,-75.6243383083,-0.0478340095113,-14.3335282986,-0.833565092621,-1.19315344367,0.173999626638,0.493934824236,-0.160739997325
59,Eu,19,4.70826540172,1.56116597715,-70.9605981031,81.8591363711,-287.25562118,-95.0561798941,-43012.7892283,-4055.96859083,-52584.6757656,-1656.44277174,-15291.1799277,-2.47627721779,-26339.3543128,-8.06467524421,-41288.665155,-13.1474888599,-5638.20905832,-13.5643628908,-2631.518899,-51.2862444666,-640.393513359,-376.643977583,-189.502853811,-0.0292555720991,-58.2964631175,-0.0460266333809,-10.7915241299,-0.803274646553,-0.898287542885,-0.568339282829,-0.266483907066,-0.310557135264
60,Gd,19,7.47478773929,-3.67238785108,-52.453933367,111.502604553,-269.49062409,3.31074058057,-47622.0825069,-5822.78231612,-66775.9271126,4313.75808058,-19685.5268505,-2.57120891746,-33908.2533775,-8.37315745841,-54355.7103095,-13.6976797661,-7422.60661203,-14.1320767548,-3462.62699637,-53.2037198752,-1008.5557911,-391.673937075,-249.925690103,-0.0304879068922,-76.8842584289,-0.0479654276735,-14.5805285329,-0.83567738468,-1.21676073034,0.309106198794,0.614874529154,-0.137589783256
61,Tb,19,9.03163186505,0.10685482932,47.8756420023,256.795153801,818.00324801,4364.91343989,15975.0714534,33954.8643926,198860.290609,11530.8498153,55475.3889034,-0.947496996996,95550.2058947,-3.09700939706,161999.59443,-4.58799048516,22122.2409524,-4.73225464818,10298.299076,-21.4556424416,-1316.28693338,4611.20220892,750.708144528,-0.0100797968925,230.939360955,-0.0158579769498,47.929502555,-0.301105251155,3.65139604043,-0.356886218345,-1.48505777782,0.47922965627
62,Dy,19,7.56562459786,-3.39881184527,-56.5931323969,113.049783016,-261.578863278,67.7030104886,-47827.1153259,-5969.28907288,-67088.7405079,5211.69532442,-19805.579707,-2.57380243634,-34115.034485,-8.38158593636,-54872.8726625,-13.7194550045,-7493.22880084,-14.1545455122,-3495.52026353,-53.2796094952,-1023.01487677,-392.26421882,-252.29871695,-0.0305363052086,-77.6142696396,-0.0480415741156,-14.7361142936,-0.837007920125,-1.23386954404,0.42365002315,0.722578840344,-0.116973081223
63,Ho,19,7.32678137825,-3.36238467629,-46.7108349853,118.956759582,-270.661042731,42.8919674279,-47930.7604953,-6096.12502885,-67380.6444953,6674.2610268,-19944.5560253,-2.57680476145,-34354.4096949,-8.39134374831,-54921.6138734,-13.7215072643,-7499.88474533,-14.15666313,-3498.62035606,-53.2867622045,-1024.39948697,-392.320744533,-252.52595942,-0.0305409398603,-77.6841758217,-0.0480488645761,-14.7502569907,-0.837128865382,-1.23542472765,0.434062041456,0.732369248624,-0.115099006471
64,Er,19,-3.96499165259,-2.6396514953,-30.7614982559,-63.5613756029,-353.214790306,-507.594336101,-42664.2554036,-4283.7001834,-8008.0614934,26678.7176002,-3442.25952035,-2.22030331011,-5930.5689324,-7.2329264561,-11029.3663537,-11.8734142063,-1506.08744132,-12.2497103769,-706.925527065,-46.8459661754,-1154.20781492,674.52830715,-49.1286167801,-0.0263926138707,-15.1133271154,-0.0415224160766,-2.03978542484,-0.728431688548,-0.0762275025646,-0.914498344863,-0.968594358382,-0.0302540765455
65,Tm,19,-4.54124871435,1.14257025967,62.9452838536,-67.0359409743,-243.314676663,114.933474377,-44696.94865,-4147.87966951,-49180.9290442,6302.78788676,-14739.3200646,-2.46435531092,-25388.821356,-8.02592496661,-40698.8643743,-13.122655164,-5557.66755849,-13.5387382614,-2594.00555716,-51.1996991656,-626.708577525,-376.085299946,-187.256882132,-0.0292097650961,-57.605537362,-0.0459545710438,-15.7284735844,2.92097648531,-0.854981299886,-0.593808663422,-0.308545387946,-0.318179745211
66,Yb,19,-3.42376221588,0.588906347365,51.4521058134,-21.865422609,-329.432102367,15.2500944844,-47217.6562285,-5483.7186497,-63922.2832828,3998.30313611,-18863.5605421,-2.55345186275,-32492.4844138,-8.31545849756,-52484.2154381,-13.6188800492,-7167.04076804,-14.0507673669,-3343.59363684,-52.9290930949,-1115.28989282,-270.733301463,-241.182876994,-0.0303095956204,-74.1947186551,-0.0476848965446,-14.0382515466,-0.831039950327,-1.16658971421,0.0342869542354,0.372701685307,-0.183946380377
67,Lu,3,-3.57213451257,-2.19656194961,85.787745404,-80.0791800114,-255.604266261,-112.68552406,-41782.239449,-4095.09855395,-41615.0201352,-2613.56908982,-12280.168698,-2.41122991525,-21153.1365379,-7.85331390797,-33971.2725834,-12.8393883825,-4638.96740968,-13.2464498023,-2166.1080922,-50.2124803412,-438.503555133,-368.40196563,-156.368652769,-0.028579794011,-48.103433137,-0.0449634420762,-8.76573708156,-0.785950558152,-0.678316279855,-0.72470425903,-0.516186376116,-0.337069073607
68,Hf,4,-4.41469905303,-3.6942610782,41.3607825684,-95.011119347,-315.896438288,-330.773252321,-46201.7473567,-4677.81356924,-61909.1943401,691.680013196,-18012.4638627,-2.5350655005,-31026.5407731,-8.2557111194,-49633.0215929,-13.4988298843,-6777.69007974,-13.9268937474,-3162.2481139,-52.5107044756,-876.337541689,-386.276222391,-228.226021223,-0.0300453381781,-70.2088188408,-0.0472691487672,-13.2379072321,-0.824195580547,-1.11156247918,-0.209699654103,0.145666061685,-0.227405418844
69,Ta,5,-5.51595388449,-3.59579681613,60.8518441787,-113.073947251,98.8351777683,-84.4934774157,-14616.616732,4281.82853748,13586.3160577,-17596.1640127,3943.96118105,-2.06073773697,6791.58499169,-6.71443183452,8030.50862937,-11.0708938381,1096.67365739,-11.4216305819,505.346873965,-44.0490772172,-1171.76009634,1100.84854403,37.4893336413,-0.0246260249358,11.5328362316,-0.038743057324,-15.9603352922,13.1418972434,0.398676069144,-0.921226385274,-1.13417928318,0.0969517220641
70,W,6,-5.75180392135,-1.90723812108,-18.1906544364,-146.550423813,2.96123711483,-337.372201347,-13595.0225502,5784.69083515,-24153.1600155,-14220.1581439,-6423.74682434,-2.2847128031,-11065.9342712,-7.44220181269,-16740.8780674,-12.1138987052,-2286.03515574,-12.4978541439,-1070.19691132,-47.6840991679,42.2032263712,-348.777457932,-77.4750065447,-0.0269707436725,-23.8334884797,-0.0424319693484,-3.85565232557,-0.743960585693,-0.238779009999,-0.863257886838,-0.845631145378,-0.112379400971
71,Re,7,-4.42764478651,-1.28194171368,-185.194332529,-103.080815354,-368.378180353,-594.809307315,-44813.2896022,-4618.24900149,-55192.813771,-1752.70298049,-15972.9240682,-2.49100503313,-27513.602168,-8.11252361017,-43833.5430825,-13.2546415235,-5985.73015889,-13.6749282446,-2793.38172742,-51.6596860562,-714.768460271,-379.680281156,-201.709282337,-0.0295045244406,-62.0515103738,-0.0464183042472,-15.6789911212,2.23780695017,-0.956407842699,-0.519621440994,-0.195686631839,-0.297088593547
72,Os,8,-6.10004452511,-0.322805840027,-173.824598823,-104.775683451,-429.000949693,-587.095908407,-47613.1836066,-5861.07745147,-66130.3832549,4083.91232593,-19490.0342969,-2.5669856641,-33571.5336314,-8.3594401037,-53842.2325267,-13.6760596674,-7352.48759703,-14.1097680844,-3429.96807356,-53.1283717737,-994.07824244,-391.082901591,-247.549633432,-0.030439446782,-76.1533153328,-0.047889186662,-14.4405465627,-0.834480289443,-1.20278102698,0.224636193511,0.537873937177,-0.152329195668
73,Ir,8,2.40010508445,16.6515399508,148.806653245,28.5508131765,-175.189900388,386.24404942,-45730.1936491,-3913.36647963,-62012.0658178,-629.340568735,-18805.9028273,-2.55220627496,-32393.1737653,-8.31141402102,-51994.1524502,-13.5982458357,-7100.11914056,-14.0294759593,-3312.4239616,-52.85718086,-941.856609078,-388.950991068,-238.979013851,-0.0302646474287,-73.5167471241,-0.047614179968,-13.9071387718,-0.829918702513,-1.15479453001,-0.0277501487239,0.31887022207,-0.194250770473
74,Pt,8,5.71792461587,6.3989408512,10.2327478161,112.900497474,-223.169931517,437.895040173,-40158.5868419,-1320.02320501,-38339.339454,2998.23110363,-11562.2429169,-2.3957204628,-19916.5687823,-7.80293903584,-34079.9698489,-12.8439651056,-4653.81067065,-13.2511722505,-2173.0215292,-50.2284420971,-440.038041857,-368.464609944,-156.620499082,-0.0285849304626,-48.1809076637,-0.0449715213479,-8.78141108365,-0.786084598795,-0.679719326016,-0.724261964213,-0.515139405374,-0.337820847937
75,Au,11,7.56030737074,-2.58017522898,-51.6521764765,105.15245101,-348.020495536,-155.752084911,-47360.6794224,-5603.45253651,-64853.1457564,3789.53192592,-19120.1577101,-2.55899516775,-32934.4517947,-8.33346958982,-53087.8907305,-13.6442979346,-7249.47686005,-14.0769947692,-3381.98939488,-53.0176784158,-972.846264309,-390.216121395,-244.065039088,-0.0303683778432,-75.081354345,-0.0477773760899,-14.2236765362,-0.832625664341,-1.18327093674,0.122022342343,0.448832496785,-0.169373460886
76,Hg,12,8.33066623408,-2.43420583165,-31.3606549871,119.511230385,-298.651266566,61.6260396588,-47105.3350202,-5340.99864183,-63762.097631,3877.03362664,-18813.5893507,-2.55237232802,-32406.4131667,-8.31195779772,-51970.4097745,-13.597246145,-7096.87695323,-14.0284444433,-3310.9138541,-52.8536966746,-1109.6829964,-395.17462786,-242.255396296,-0.0303314698477,-74.5246561351,-0.0477193094661,-15.6574670354,0.408441486334,-1.16214417114,0.0684297573326,0.383975162862,-0.181788417292
77,Tl,13,8.16761706587,-3.07335500616,-27.837071787,114.861442713,-254.144717225,46.8513849919,-47977.9591643,-6167.79289669,-67060.9611331,6324.45142745,-19831.9511669,-2.57437214273,-34160.4571382,-8.38344062414,-54736.8155337,-13.7137262882,-7474.64924245,-14.1486343447,-3486.86657596,-53.2596426526,-1113.18307719,-321.904890803,-251.57970469,-0.0305216408221,-77.3930807244,-0.0480185017458,-14.6884789786,-0.836600553315,-1.22863137003,0.38858040597,0.689603404109,-0.12328522171
78,Pb,14,8.16459760136,-3.29326247462,-33.6449620241,120.378048841,-269.844981867,83.1440908749,-47781.0295195,-5937.66412103,-66914.5929066,5357.22162575,-19763.5004833,-2.57289339291,-34042.5565055,-8.37863425845,-54576.1194889,-13.7069601447,-7452.70506022,-14.1416527074,-3476.64576468,-53.2360628341,-1014.5178593,-391.91733421,-250.9041857,-0.0305078634888,-77.1852715438,-0.0479968244619,-14.6493229402,-0.836265699426,-1.22432563112,0.359753351195,0.662497583366,-0.128473803517
79,Bi,15,7.70835500767,-3.41979215551,-51.1170691748,114.072594609,-251.23872372,127.674640746,-47685.5700819,-5793.29223358,-66180.9063789,4780.17788658,-19533.8231152,-2.56793164016,-33646.9562441,-8.36251369292,-53788.2960033,-13.6737886578,-7345.12217992,-14.1074247448,-3426.53753402,-53.1204567536,-1114.07225372,-300.308043156,-247.191748071,-0.0304321476446,-76.0432196393,-0.0478777040687,-14.4182729055,-0.834289809991,-1.20077722933,0.214097208493,0.528728849911,-0.154079743414
80,Ac,20,8.03875250328,-3.17240512069,-62.883203159,117.573278831,-262.544217197,151.659560686,-47405.1407109,-5579.50281955,-65066.6165143,5477.37729803,-19243.2089796,-2.56165346178,-33146.3974361,-8.34210969581,-53545.5147535,-13.6635662981,-7311.96867818,-14.0968768136,-3411.09583207,-53.0848306105,-1112.68794205,-334.262932398,-245.830103327,-0.0304043766511,-75.6243383083,-0.0478340095113,-14.3335282986,-0.833565092621,-1.19315344367,0.173999626638,0.493934824236,-0.160739997325
81,Th,20,4.70826540172,1.56116597715,-70.9605981031,81.8591363711,-287.25562118,-95.0561798941,-43012.7892283,-4055.96859083,-52584.6757656,-1656.44277174,-15291.1799277,-2.47627721779,-26339.3543128,-8.06467524421,-41288.665155,-13.1474888599,-5638.20905832,-13.5643628908,-2631.518899,-51.2862444666,-640.393513359,-376.643977583,-189.502853811,-0.0292555720991,-58.2964631175,-0.0460266333809,-10.7915241299,-0.803274646553,-0.898287542885,-0.568339282829,-0.266483907066,-0.310557135264
82,Pa,20,7.47478773929,-3.67238785108,-52.453933367,111.502604553,-269.49062409,3.31074058057,-47622.0825069,-5822.78231612,-66775.9271126,4313.75808058,-19685.5268505,-2.57120891746,-33908.2533775,-8.37315745841,-54355.7103095,-13.6976797661,-7422.60661203,-14.1320767548,-3462.62699637,-53.2037198752,-1008.5557911,-391.673937075,-249.925690103,-0.0304879068922,-76.8842584289,-0.0479654276735,-14.5805285329,-0.83567738468,-1.21676073034,0.309106198794,0.614874529154,-0.137589783256
83,U,20,9.03163186505,0.10685482932,47.8756420023,256.795153801,818.00324801,4364.91343989,15975.0714534,33954.8643926,198860.290609,11530.8498153,55475.3889034,-0.947496996996,95550.2058947,-3.09700939706,161999.59443,-4.58799048516,22122.2409524,-4.73225464818,10298.299076,-21.4556424416,-1316.28693338,4611.20220892,750.708144528,-0.0100797968925,230.939360955,-0.0158579769498,47.929502555,-0.301105251155,3.65139604043,-0.356886218345,-1.48505777782,0.47922965627
84,Np,20,7.56562459786,-3.39881184527,-56.5931323969,113.049783016,-261.578863278,67.7030104886,-47827.1153259,-5969.28907288,-67088.7405079,5211.69532442,-19805.579707,-2.57380243634,-34115.034485,-8.38158593636,-54872.8726625,-13.7194550045,-7493.22880084,-14.1545455122,-3495.52026353,-53.2796094952,-1023.01487677,-392.26421882,-252.29871695,-0.0305363052086,-77.6142696396,-0.0480415741156,-14.7361142936,-0.837007920125,-1.23386954404,0.42365002315,0.722578840344,-0.116973081223
85,Pu,20,7.32678137825,-3.36238467629,-46.7108349853,118.956759582,-270.661042731,42.8919674279,-47930.7604953,-6096.12502885,-67380.6444953,6674.2610268,-19944.5560253,-2.57680476145,-34354.4096949,-8.39134374831,-54921.6138734,-13.7215072643,-7499.88474533,-14.15666313,-3498.62035606,-53.2867622045,-1024.39948697,-392.320744533,-252.52595942,-0.0305409398603,-77.6841758217,-0.0480488645761,-14.7502569907,-0.837128865382,-1.23542472765,0.434062041456,0.732369248624,-0.115099006471
